path,size_bytes,separator,status,rows,error
SCADA/2019_06/Export_2019-06-11 02-00-13.146_[2019-06-10 00-00-00.000]_[2019-06-11 00-00-00.000].csv,54923348,;,processed,1415196,
SCADA/2019_06/Export_2019-06-12 02-00-14.309_[2019-06-11 00-00-00.000]_[2019-06-12 00-00-00.000].csv,54384342,;,processed,1398927,
SCADA/2019_06/Export_2019-06-13 02-00-15.252_[2019-06-12 00-00-00.000]_[2019-06-13 00-00-00.000].csv,51745116,;,processed,1330371,
SCADA/2019_06/Export_2019-06-14 02-00-16.446_[2019-06-13 00-00-00.000]_[2019-06-14 00-00-00.000].csv,50495597,;,processed,1300031,
SCADA/2019_06/Export_2019-06-15 02-00-17.436_[2019-06-14 00-00-00.000]_[2019-06-15 00-00-00.000].csv,45703542,;,processed,1181606,
SCADA/2019_06/Export_2019-06-16 02-00-18.505_[2019-06-15 00-00-00.000]_[2019-06-16 00-00-00.000].csv,3888382,;,processed,101685,
SCADA/2019_06/Export_2019-06-17 02-00-19.511_[2019-06-16 00-00-00.000]_[2019-06-17 00-00-00.000].csv,25,;,header_only,0,
SCADA/2019_06/Export_2019-06-18 02-00-20.626_[2019-06-17 00-00-00.000]_[2019-06-18 00-00-00.000].csv,54277304,;,processed,1397352,
SCADA/2019_06/Export_2019-06-19 02-00-21.664_[2019-06-18 00-00-00.000]_[2019-06-19 00-00-00.000].csv,53946354,;,processed,1387303,
SCADA/2019_06/Export_2019-06-20 02-00-22.670_[2019-06-19 00-00-00.000]_[2019-06-20 00-00-00.000].csv,48806069,;,processed,1255886,
SCADA/2019_06/Export_2019-06-21 02-00-23.738_[2019-06-20 00-00-00.000]_[2019-06-21 00-00-00.000].csv,50559217,;,processed,1299946,
SCADA/2019_06/Export_2019-06-22 02-09-24.412_[2019-06-21 00-00-00.000]_[2019-06-22 00-00-00.000].csv,44237765,;,processed,1136096,
SCADA/2019_06/Export_2019-06-23 02-09-25.309_[2019-06-22 00-00-00.000]_[2019-06-23 00-00-00.000].csv,14858400,;,processed,381760,
